online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,651625162,Human Greatness T-shirt Cream - S,human-greatness-t-shirt-cream-s,humangreatness,NEW,69000,15389,665,4.9,362
tokopedia,315708078,"Flyman Man T-Shirt V-Neck Kaos Pria Dewasa FMA 3137 - Hitam, XL",flyman-man-t-shirt-v-neck-kaos-pria-dewasa-fma-3137-hitam-xl,flymannathalie,NEW,58600,31471,653,4.8,202
tokopedia,1142900820,Kemeja Polos Pria Short Grandad | Baju Cowok Polosan Kerah Shanghai - XL,kemeja-polos-pria-short-grandad-baju-cowok-polosan-kerah-shanghai-xl-a355,aljosa,NEW,65500,45845,646,4.5,254
tokopedia,1135042836,Human Greatness Heavy Cotton T-shirt Black - M,human-greatness-heavy-cotton-t-shirt-black-m,humangreatness,NEW,119000,19506,642,4.9,351
tokopedia,1630964738,Kaos Unisex Erigo T-Shirt Boibaku Cotton Combed Olive - S,kaos-unisex-erigo-t-shirt-boibaku-cotton-combed-olive-s,erigo,NEW,65000,10676,656,4.8,417
tokopedia,515482662,Baju kaos Dunlop warna kuning hitam bahan mantap ukuran L,baju-kaos-dunlop-warna-kuning-hitam-bahan-mantap-ukuran-l,jasutramotor,NEW,25000,3225,632,4.6,53
tokopedia,1824432233,Kaos Unisex Erigo T-Shirt Dragon Fire Cotton Combed Black - M,kaos-unisex-erigo-t-shirt-dragon-fire-cotton-combed-black-m,erigo,NEW,65000,24089,610,4.8,369
tokopedia,909648662,Jersey DK Super Light Series - Ocean Blue - S,jersey-dk-super-light-series-ocean-blue-s,duraking,NEW,109000,30152,607,4.9,407
tokopedia,909802417,Jersey DK Super Light Series - Sky Blue - S,jersey-dk-super-light-series-sky-blue-s,duraking,NEW,109000,27044,606,4.9,414
tokopedia,1811649192,Kaos Unisex Erigo T-Shirt Surfer Vibes Cotton Combed Black - S,kaos-unisex-erigo-t-shirt-surfer-vibes-cotton-combed-black-s,erigo,NEW,65000,25467,601,4.9,369
tokopedia,1687125712,Kaos Unisex Erigo T-Shirt Sendai Speed Cotton Combed Olive - S,kaos-unisex-erigo-t-shirt-sendai-speed-cotton-combed-olive-s,erigo,NEW,65000,21505,593,4.9,369
tokopedia,561841714,GT MAN- GTX SEAMLESS T-SHIRT- ROUND NECK- WHITE - XL,gt-man-gtx-seamless-t-shirt-round-neck-white-xl,gtmanofficial,NEW,52000,12171,588,4.7,154
tokopedia,1125509166,"DK Super Light V2 (Man) T Heather Seamless Anti Viral Steel Blue - REGULAR FIT, S",dk-super-light-v2-man-t-heather-seamless-anti-viral-steel-blue-regular-fit-s,duraking,NEW,109000,32202,585,4.9,381
tokopedia,528934178,"Slim N Lift Body Shaping for Men Tank top Tanktop Pria Slimming Shirt - Hitam, M",slim-n-lift-body-shaping-for-men-tank-top-tanktop-pria-slimming-shirt-hitam-m,vivania,NEW,30000,5931,595,4.6,97
tokopedia,909505884,Jersey DK Super Light Series - Light Grey - S,jersey-dk-super-light-series-light-grey-s,duraking,NEW,109000,32190,569,4.9,395
tokopedia,1057079426,Kaos Baju Pria Lengan Panjang Futura Atasan Cowok Pria Murah Fashion - Putih,kaos-baju-pria-lengan-panjang-futura-atasan-cowok-pria-murah-fashion-putih,queenlabell,NEW,54000,45172,559,4.5,270
tokopedia,1673660939,Kaos Unisex Erigo T-Shirt Shark Attack Cotton Combed Mustard - S,kaos-unisex-erigo-t-shirt-shark-attack-cotton-combed-mustard-s,erigo,NEW,65000,20214,557,4.9,353
tokopedia,1094376926,"Atasan Baju Kaos Mido Lengan Panjang Cowok Pria Premium Murah Fashion - navy, M atau L",atasan-baju-kaos-mido-lengan-panjang-cowok-pria-premium-murah-fashion-navy-m-atau-l,queenlabell,NEW,59000,29053,537,4.4,262
tokopedia,1631537394,Kaos Unisex Erigo T-Shirt The War Cotton Combed Maroon - S,kaos-unisex-erigo-t-shirt-the-war-cotton-combed-maroon-s,erigo,NEW,65000,37550,542,4.8,330
tokopedia,1051942004,"Baju Kaos Lengan Panjang Virenza Atasan Pria Cowok Murah Babyterry - hitam abu, S",baju-kaos-lengan-panjang-virenza-atasan-pria-cowok-murah-babyterry-hitam-abu-s,queenlabell,NEW,63000,31158,540,4.4,198
tokopedia,359060202,"CASPER BAJU KEMEJA POLOS PRIA LENGAN PANJANG KEMEJA FORMAL COWOK - Putih, M",casper-baju-kemeja-polos-pria-lengan-panjang-kemeja-formal-cowok-putih-m,fortklass,NEW,59000,40173,517,4.6,255
