online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,1824417075,kaos-unisex-erigo-t-shirt-miami-heat-cotton-combed-black-s,erigo,11127,226,4.7,134,Atas
tokopedia,1631638441,kaos-unisex-erigo-t-shirt-stripe-jirco-cotton-combed-white-s,erigo,7088,222,4.9,139,Atas
tokopedia,561850451,gt-man-gts01-dark-grey-t-shirt-round-neck-s,gtmanofficial,8632,416,4.9,154,Atas
tokopedia,609527219,kale-arthur-kaos-pria-kale-clothing-t-shirt-cotton-premium-blue-m,kaleclothing,6131,223,4.9,155,Atas
tokopedia,1215873761,human-greatness-t-shirt-d-jon-xs,humangreatness,9638,219,4.9,132,Atas
tokopedia,1615374062,lg-t-shirt-black-re-boost-s,officialjkt48,26984,222,4.7,114,Atas
tokopedia,1631540085,kaos-unisex-erigo-t-shirt-ride-fast-cotton-combed-black-s,erigo,13169,220,4.8,150,Atas
tokopedia,782866287,human-greatness-t-shirt-bush-orange-s,humangreatness,9784,221,4.9,115,Atas
tokopedia,1631529923,kaos-unisex-erigo-t-shirt-the-wolf-cotton-combed-olive-s,erigo,7004,216,4.7,139,Atas
tokopedia,390577398,hem-ipman-baju-implek-pria-lengan-panjang-slim-fit-kemeja-cowok-biru,fortklass,15872,218,4.6,66,Atas
tokopedia,1084282315,kayser-six-kaos-kerah-wangky-polo-shirt-kerah-shanghai-hitam-m,kayser,13903,214,4.7,133,Atas
tokopedia,1793159967,kaos-unisex-erigo-t-shirt-life-to-fast-cotton-combed-black-s,erigo,9422,214,4.9,128,Atas
tokopedia,1687125880,kaos-unisex-erigo-t-shirt-flying-cotton-combed-black-s,erigo,14873,216,4.9,137,Atas
tokopedia,612354763,kaos-distro-pria-astronout-coffee-atasan-pria-t-shirt-pria,camelshopdistro,8224,215,4.7,110,Atas
tokopedia,2004687462,kaos-unisex-erigo-t-shirt-coastal-city-cotton-combed-black-s,erigo,5140,212,4.9,114,Atas
tokopedia,1689340182,baju-barong-bali-xxl-pria-dan-wanita-atasan-bali-purple,allmashop,1627,210,4.8,26,Atas
tokopedia,1733888247,cm-kaos-distro-pria-t-shirt-pria-baju-pria-atasan-pendaki-cerita-ii-hitam-gold-m,camelshopdistro,9975,205,4.5,106,Atas
tokopedia,1633815571,kaos-unisex-erigo-t-shirt-universe-cotton-combed-cream-s,erigo,3868,210,4.8,126,Atas
tokopedia,422937585,kemeja-pria-biru-langit-muda-polos-lengan-panjang-baju-lapangan,antonioclothing,13830,211,4.7,79,Atas
tokopedia,1936801198,kaos-singlet-kutungan-olahraga-badminton-frasser-windstorm-merah-zf-m,grosirolahraga1,9090,208,4.7,122,Atas
tokopedia,1221910597,dk-daily-active-wear-tri-colors-shirt-grey-regular-fit-m,duraking,9899,208,4.9,136,Atas
tokopedia,1631467808,kaos-unisex-erigo-t-shirt-over-power-cotton-combed-navy-m,erigo,3971,206,4.8,130,Atas
tokopedia,2013618706,kaos-olahraga-badminton-bulutangkis-running-frasser-windstorm-benhur-m,grosirolahraga1,5111,201,4.7,117,Atas
