online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,1777669516,top-juntai-baju-atasan-wanita-jumbo-fashion-terbaru-abu-abu-xl,absoluteprice,2559,37,4.8,23,Menengah
tokopedia,1063446266,yeslin-tunik-baju-atasan-wanita-baju-tunik-trendy-casual-terbaru-army-l,grosirbajumodern,6068,38,3.9,15,Menengah
tokopedia,2037317330,atasan-wanita-floria-shirt-blouse-muslim-big-jumbo-size-s-5l-blue-s,zabierolshop,3041,38,4.7,24,Menengah
tokopedia,1797387626,caira-top-black-hia-everywear-kaos-olahraga-kaos-jalan,hiaeverywear,909,36,4.9,10,Menengah
tokopedia,1367796621,davis-denim-shirt-medium-blue-lookboutiquestore-m,lbs-store,2689,38,5.0,19,Menengah
tokopedia,1943002908,blouse-wanita-jumbo-atasan-baju-wanita-big-size-baju-korea-wanita-1529-navy-allsize-big,go-jeans,1181,34,4.8,18,Menengah
tokopedia,13567205,kaos-baju-fashion-wanita-shirt-kemeja-blouse-atasan-korea-new-2015160,importkorea,5654,36,4.4,14,Menengah
tokopedia,588171316,baju-atasan-wanita-terbaru-panda-tunik-scuba-termurah-berkualitas,ratuanindita,6399,38,4.9,22,Menengah
tokopedia,723223629,okechuku-yung-atasan-unik-blouse-wanita-baju-wanita-baju-atasan-wanita-hijau-m,okechuku,9700,36,4.7,19,Menengah
tokopedia,529236114,monellina-fashion-baju-kemeja-atasan-xxl-jumbo-murah-wanita-0658-pink-xxl,monellinafashion,10634,37,4.4,15,Menengah
tokopedia,1407905306,baju-tunik-kaos-atasan-muslim-jumbo-wanita-chanel-lengan-panjang-pink,lativa-shop,1465,36,4.8,17,Menengah
tokopedia,877528594,baju-atasan-wanita-remaja-muslim-baru-termurah-nala-tunik,diesastore,7873,37,4.6,20,Menengah
tokopedia,2050324956,baju-kaos-wanita-katun-boba-tshirt-atasan-cewek-perempuan-tumblr-tee-allsize-cokelat,carotyles,733,36,4.6,16,Menengah
tokopedia,2163258660,real-pict-atasan-batik-wanita-debora-top-baju-kerja-c2p05-medium,comfortclothes9,1133,35,4.9,21,Menengah
tokopedia,850434576,tunik-strip-swisko-baju-atasan-wanita-0117-ten,supermodel-tkpd,6438,37,4.7,16,Menengah
tokopedia,1599251683,atasan-kemeja-wanita-baju-casual-wanita-lilac,fashionteglabel,3119,33,4.9,23,Menengah
tokopedia,1418603688,baju-atasan-wanita-jumbo-blouse-scuba-motif-bunga-big-size-jumbo-navy,ffeliciafashion,3205,37,5.0,23,Menengah
tokopedia,1457801141,baju-atasan-wanita-ala-korea-sweet-top-blouse-casual-wanita-termurah-white,qaireen-id,11243,35,4.2,26,Menengah
tokopedia,2073515856,baju-atasan-blouse-fashion-muslim-atasan-muslim-wanita-darrel-tunik-blue,look180,7961,37,4.3,14,Menengah
tokopedia,1963843085,kaos-oversize-wanita-atasan-wanita-jumbo-t-shirt-cewek-kekinian-motif-hitam-xxl,queentshirt,1184,34,4.9,24,Menengah
