online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,757992877,Atasan Wanita Baju Rajut DAISY Turtleneck - Coral,atasan-wanita-baju-rajut-daisy-turtleneck-coral,bajurajutmilkan,NEW,30000,15131,324,4.6,122
tokopedia,1581462856,"MANSET MURAH/KAOS POLOS/ATASAN MUSLIM/ATASAN WANITA/BAJU WANITA - Coklat susu, all size",manset-murah-kaos-polos-atasan-muslim-atasan-wanita-baju-wanita-coklat-susu-all-size,madefimuslim,NEW,26750,14156,321,4.5,102
tokopedia,2234083893,"Daster Midi, Dress Santai, Baju Tidur, Piyama, Atasan Batik BPT002-10 - WARNA F",daster-midi-dress-santai-baju-tidur-piyama-atasan-batik-bpt002-10-warna-f,alhadi,NEW,22000,7475,315,4.5,76
tokopedia,1000333252,⭐Bobastore⭐ B001 KORSET MUNAFIE BAJU CAMISOLE Atasan Wanita - Putih,bobastore-b001-korset-munafie-baju-camisole-atasan-wanita-putih,bobastore1,NEW,14900,1901,313,4.8,35
tokopedia,356499435,Kemeja Katun Rayon Jumbo Zein Tunik Busui Blouse Baju Atasan Wanita - Putih,kemeja-katun-rayon-jumbo-zein-tunik-busui-blouse-baju-atasan-wanita-putih,renneofficial,NEW,50000,52097,310,4.7,107
tokopedia,2018795684,"Baju Atasan Wanita / Tunik Panjang Baju Batik Wanita /Tunik Blus Batik - No 1 - 40, M",baju-atasan-wanita-tunik-panjang-baju-batik-wanita-tunik-blus-batik-no-1-40-m,grosirkokobatik,NEW,50000,6269,340,4.7,117
tokopedia,496041012,Blouse Jumbo Wanita BC1 Baju Atasan Bigsize,blouse-jumbo-wanita-bc1-baju-atasan-bigsize,paphika,NEW,75000,18133,304,4.8,131
tokopedia,353693921,BAJU KEMEJA ATASAN IKAT FORMAL WANITA 5 WARNA LORENZA RANTO,baju-kemeja-atasan-ikat-formal-wanita-5-warna-lorenza-ranto,girlyneed-os,NEW,76000,57110,301,4,68
tokopedia,374577814,Yoenik Apparel Kikan Shirt Tops Mocca M14378 R1S2,yoenik-apparel-kikan-shirt-tops-mocca-m14378-r1s2,yoenik-apparel,NEW,44900,34606,316,4.9,171
tokopedia,776729877,"blouse atasan transparan wanita mesh shirt sexy baju korea import - Hitam, TANKTOP",blouse-atasan-transparan-wanita-mesh-shirt-sexy-baju-korea-import-hitam-tanktop,ecos,NEW,20000,28877,304,4.7,75
tokopedia,1626801681,"Baju senam baju olahraga wanita zumba aerobic fitnes atasan senam Adl2 - Kuning, M",baju-senam-baju-olahraga-wanita-zumba-aerobic-fitnes-atasan-senam-adl2-kuning-m,rrsportjuwana,NEW,35000,5768,306,4.6,87
tokopedia,1592866499,"Baju atasan muslim wanita /manset lengan panjang /kaos polos murah dws - TURTLE RANDOM, M",baju-atasan-muslim-wanita-manset-lengan-panjang-kaos-polos-murah-dws-turtle-random-m,felisqueen,NEW,18000,8446,296,4.7,89
tokopedia,1278451638,"baju atasan kemeja wanita motif lucu kualitas premiun - coksu gaul, L",baju-atasan-kemeja-wanita-motif-lucu-kualitas-premiun-coksu-gaul-l,my1stshop,NEW,50000,13975,285,4.7,173
tokopedia,1034790915,Blouse Irene hijau [Baju Atasan Wanita 0140] TGQ,blouse-irene-hijau-baju-atasan-wanita-0140-tgq,supermodel-tkpd,NEW,45000,76220,295,3.7,164
tokopedia,375634843,MARTHA TUNIK / BAJU ATASAN MUSLIM WANITA TERBARU,martha-tunik-baju-atasan-muslim-wanita-terbaru,pusathijabers,NEW,69500,50171,283,4.5,152
