online_shop,product_id,product_name,shop_id,shop_city,is_official,price,sold_count,rating_average,view_count,liked_count
shopee,3863745453,w_dstore baju set  atasan wanita terbaru cardigan set,339576565,KOTA JAKARTA BARAT,False,34999,175,4.84,607,114
shopee,10932333411,wafel top flanel babbyterry blouse atasan muslim wanita korean style,30341630,KOTA BANDUNG,False,49900,175,4.41,5816,182
shopee,3046955031,grosir baju atasan outerwear wanita aprila,157326211,KOTA CIMAHI,False,57000,175,4.53,814,335
shopee,4773912771,blouse korean kalila top baju atasan wanita terbaru bahan katun fashion hijab trendy,301841829,KOTA BANDUNG,False,72000,175,4.65,8127,609
shopee,2060401524,baju batik ipnu ippnu nasional resmi pekalongan /kemeja ipnu nasional lengan panjang best seller,105632440,KOTA PEKALONGAN,False,60000,175,4.82,616,33
shopee,11206982143,gasi oversize - atasan blouse rayon - blouse jumbo oversize,45150791,KAB. SUKOHARJO,False,81000,174,4.91,1953,303
shopee,3795643217,irene top x nasariastri — blouse atasan vintage wanita,380985145,KAB. JOMBANG,False,139000,174,4.9,7330,1373
shopee,11510645904,diskon baju atasan kode kamila top,3616504,KAB. BANDUNG,False,98995,174,4.75,2124,192
shopee,5495637413,vintage set / korean style kekinian / blouse kotak vest import termurah / baju atasan wanita terbaru,8180987,KOTA BANDUNG,False,105280,174,4.76,5843,355
shopee,5870789270,wiwws atasan wanita baju muslim blouse falloon plisket tops,120818492,KAB. BANDUNG BARAT,False,79500,174,4.98,216,74
shopee,8379711987,eira atasan tunik wanita tunik import tunik terbaru tunic baju tunik atasan long tunik by azhania,255940960,KOTA TANGERANG,False,94620,174,4.89,7443,347
shopee,1888647641,prita atasan tunik wanita terbaru  atasanwanita atasantunik bajutunik terbaru grosironlinemurah,35471368,KOTA BANDUNG,False,22000,174,4.86,3355,307
shopee,6975940354,baju kaos anime shiba inu - kuruu daijoubu tee,143189601,KOTA SEMARANG,False,135000,174,4.95,1158,628
shopee,10210726993,double lucky / new stella / atasan rajut / baju atasan wanita / slim fit pas body lengan panjang,203556188,KOTA TANGERANG,False,75000,174,4.85,2078,134
shopee,8214748675,"baju atasan murah ukuran lxl ghadies tunik putih hitam maroon navi""snnabillah""",154974775,KAB. BANDUNG,False,38700,173,4.59,1830,68
shopee,7565044186,lexander size xxl size jumbo tshirt oversize panthers ld 114 cm pbaju 63 cm,86041563,KOTA JAKARTA BARAT,False,15500,173,4.38,1371,119
